antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
"Businesstravel Travel Rarely,Joblevel 2,Jobinvolvement 3",Attrition No,0.14489795918367346,0.8387755102040816,0.1326530612244898,0.915492957746479,1.0914636235906927,0.011116201582673915,1.9078231292517038
"Jobsatisfaction 4,Department Research & Development,Jobinvolvement 3",Attrition No,0.12040816326530612,0.8387755102040816,0.11020408163265306,0.9152542372881356,1.0911790176914513,0.009208663057059571,1.9024489795918373
"Businesstravel Travel Rarely,Joblevel 2,Maritalstatus Married",Attrition No,0.11836734693877551,0.8387755102040816,0.10816326530612246,0.9137931034482759,1.0894370333081635,0.008879633486047492,1.8702040816326546
"Age Range >36 <=43,Jobinvolvement 3",Attrition No,0.13401360544217686,0.8387755102040816,0.12244897959183673,0.9137055837563453,1.0893326910963728,0.010041649312786352,1.8683073229291738
"Businesstravel Travel Rarely,Maritalstatus Divorced",Attrition No,0.14965986394557823,0.8387755102040816,0.13673469387755102,0.9136363636363637,1.0892501658925018,0.011203665139525198,1.8668098818474776
"Jobsatisfaction 4,Educationfield Life Sciences",Attrition No,0.13877551020408163,0.8387755102040816,0.12653061224489795,0.9117647058823529,1.0870187491054817,0.01012911286963765,1.8272108843537416
"Joblevel 2,Jobinvolvement 3",Attrition No,0.21564625850340136,0.8387755102040816,0.19659863945578232,0.9116719242902209,1.0869081335820152,0.015719838955990578,1.825291545189507
Age Range >36 <=43,Attrition No,0.22108843537414966,0.8387755102040816,0.20136054421768707,0.9107692307692308,1.08583192962755,0.01591697903651257,1.8068261787473616
"Businesstravel Travel Rarely,Jobsatisfaction 4,Department Research & Development",Attrition No,0.14421768707482993,0.8387755102040816,0.13129251700680272,0.910377358490566,1.0853647339668548,0.010326252950159667,1.798925886143931
"Businesstravel Travel Rarely,Age Range >36 <=43",Attrition No,0.15170068027210884,0.8387755102040816,0.1380952380952381,0.9103139013452916,1.0852890794627563,0.01085242260169375,1.7976530612244919
"Jobsatisfaction 4,Maritalstatus Married",Attrition No,0.1360544217687075,0.8387755102040816,0.12380952380952381,0.9099999999999999,1.0849148418491483,0.009690406774954877,1.7913832199546476
"Maritalstatus Divorced,Jobinvolvement 3",Attrition No,0.1360544217687075,0.8387755102040816,0.12380952380952381,0.9099999999999999,1.0849148418491483,0.009690406774954877,1.7913832199546476
"Maritalstatus Married,Environmentsatisfaction 3",Attrition No,0.14965986394557823,0.8387755102040816,0.1360544217687075,0.9090909090909092,1.0838310108383102,0.010523393030681671,1.7734693877551042
"Businesstravel Travel Rarely,Department Research & Development,Age Range >43",Attrition No,0.11904761904761904,0.8387755102040816,0.10816326530612246,0.9085714285714287,1.0832116788321169,0.008309037900874658,1.76339285714286
"Businesstravel Travel Rarely,Environmentsatisfaction 3,Jobinvolvement 3",Attrition No,0.13333333333333333,0.8387755102040816,0.12108843537414966,0.9081632653061225,1.0827250608272507,0.009251700680272118,1.7555555555555562
"Joblevel 2,Jobinvolvement 3,Gender Male",Attrition No,0.12585034013605442,0.8387755102040816,0.11428571428571428,0.908108108108108,1.0826593016374038,0.00872553102873802,1.7545018007202875
"Businesstravel Travel Rarely,Joblevel 2",Attrition No,0.24693877551020407,0.8387755102040816,0.22380952380952382,0.90633608815427,1.0805466744418306,0.016683326391781245,1.7213085234093652
"Environmentsatisfaction 3,Jobinvolvement 3",Attrition No,0.18095238095238095,0.8387755102040816,0.16394557823129252,0.906015037593985,1.0801639134332182,0.012167152575315865,1.7154285714285735
"Jobsatisfaction 4,Gender Female",Attrition No,0.11564625850340136,0.8387755102040816,0.10476190476190476,0.9058823529411765,1.0800057249177044,0.007760655282521178,1.713010204081633
"Jobsatisfaction 4,Department Research & Development",Attrition No,0.20068027210884354,0.8387755102040816,0.1816326530612245,0.9050847457627119,1.0790548063837686,0.01330695543523533,1.6986151603498556
"Gender Female,Environmentsatisfaction 3",Attrition No,0.12857142857142856,0.8387755102040816,0.11632653061224489,0.9047619047619048,1.0786699107866993,0.008483965014577266,1.6928571428571435
"Department Research & Development,Age Range >43",Attrition No,0.15578231292517006,0.8387755102040816,0.14081632653061224,0.9039301310043668,1.077678258375036,0.010149937526030828,1.6782003710575144
Joblevel 2,Attrition No,0.363265306122449,0.8387755102040816,0.32789115646258504,0.9026217228464419,1.0761183557050038,0.023193113980286006,1.6556514913657774
"Department Research & Development,Educationfield Life Sciences,Maritalstatus Married",Attrition No,0.1326530612244898,0.8387755102040816,0.11972789115646258,0.9025641025641025,1.0760496599912657,0.00846175204775787,1.6546723952738978
"Educationfield Life Sciences,Environmentsatisfaction 4",Attrition No,0.1251700680272109,0.8387755102040816,0.11292517006802721,0.9021739130434782,1.0755844705384534,0.0079355823962238,1.6480725623582755
"Gender Female,Educationfield Medical",Attrition No,0.1292517006802721,0.8387755102040816,0.11632653061224489,0.8999999999999999,1.072992700729927,0.007913369429404404,1.6122448979591828
"Jobsatisfaction 4,Jobinvolvement 3,Gender Male",Attrition No,0.12176870748299319,0.8387755102040816,0.10952380952380952,0.8994413407821229,1.0723266593266185,0.0073871997778703485,1.6032879818594108
"Gender Female,Department Research & Development,Jobinvolvement 3",Attrition No,0.14829931972789115,0.8387755102040816,0.13333333333333333,0.8990825688073395,1.0718989263153196,0.008943495765653217,1.597588126159556
Maritalstatus Divorced,Attrition No,0.22244897959183674,0.8387755102040816,0.2,0.8990825688073395,1.0718989263153196,0.013415243648479819,1.597588126159556
"Department Research & Development,Environmentsatisfaction 2",Attrition No,0.12040816326530612,0.8387755102040816,0.10816326530612246,0.8983050847457628,1.0709719988453132,0.007167846730528962,1.5853741496598652
"Jobsatisfaction 4,Jobinvolvement 3",Attrition No,0.1870748299319728,0.8387755102040816,0.16802721088435374,0.8981818181818181,1.0708250387082503,0.011113424961821466,1.5834548104956256
"Jobinvolvement 3,Department Research & Development,Environmentsatisfaction 3",Attrition No,0.11292517006802721,0.8387755102040816,0.10136054421768707,0.8975903614457831,1.0701198956409579,0.006641677078994865,1.5743097238895554
"Age Range >36 <=43,Gender Male",Attrition No,0.1326530612244898,0.8387755102040816,0.11904761904761904,0.8974358974358974,1.0699357414685882,0.007781479938914329,1.5719387755102032
"Businesstravel Travel Rarely,Maritalstatus Married,Educationfield Life Sciences",Attrition No,0.13197278911564625,0.8387755102040816,0.11836734693877551,0.8969072164948455,1.0693054405899618,0.007671803415243664,1.5638775510204108
"Businesstravel Travel Rarely,Department Research & Development,Distancefromhome Range >2 <=7",Attrition No,0.11836734693877551,0.8387755102040816,0.10612244897959183,0.8965517241379309,1.068881617585368,0.006838817159516869,1.5585034013605432
"Businesstravel Travel Rarely,Department Research & Development,Hourlyrate Range >48 >=66",Attrition No,0.11836734693877551,0.8387755102040816,0.10612244897959183,0.8965517241379309,1.068881617585368,0.006838817159516869,1.5585034013605432
"Jobsatisfaction 4,Department Research & Development,Gender Male",Attrition No,0.1306122448979592,0.8387755102040816,0.11700680272108843,0.8958333333333333,1.0680251419302513,0.00745245036790225,1.5477551020408156
"Businesstravel Travel Rarely,Jobsatisfaction 4,Jobinvolvement 3",Attrition No,0.1306122448979592,0.8387755102040816,0.11700680272108843,0.8958333333333333,1.0680251419302513,0.00745245036790225,1.5477551020408156
"Businesstravel Travel Rarely,Maritalstatus Married,Education 3",Attrition No,0.12993197278911564,0.8387755102040816,0.11632653061224489,0.8952879581151832,1.0673749378988804,0.00734277384423157,1.539693877551021
"Businesstravel Travel Rarely,Gender Female,Department Research & Development",Attrition No,0.18775510204081633,0.8387755102040816,0.16802721088435374,0.894927536231884,1.0669452378433655,0.010542829376648633,1.534412385643913
"Distancefromhome Range <=2,Jobinvolvement 3",Attrition No,0.16122448979591836,0.8387755102040816,0.14421768707482993,0.8945147679324895,1.066453129651873,0.008986533388865764,1.5284081632653075
"Hourlyrate Range <=48,Jobinvolvement 3",Attrition No,0.16122448979591836,0.8387755102040816,0.14421768707482993,0.8945147679324895,1.066453129651873,0.008986533388865764,1.5284081632653075
"Distancefromhome Range <=2,Hourlyrate Range <=48,Jobinvolvement 3",Attrition No,0.16122448979591836,0.8387755102040816,0.14421768707482993,0.8945147679324895,1.066453129651873,0.008986533388865764,1.5284081632653075
"Environmentsatisfaction 3,Educationfield Life Sciences",Attrition No,0.12244897959183673,0.8387755102040816,0.10952380952380952,0.8944444444444445,1.0663692889970264,0.006816604192697501,1.527389903329754
"Businesstravel Travel Rarely,Joblevel 2,Gender Male",Attrition No,0.13945578231292516,0.8387755102040816,0.12448979591836734,0.8926829268292683,1.064269182837814,0.007517700957934206,1.5023191094619672
"Businesstravel Travel Rarely,Jobinvolvement 3,Age Range >43",Attrition No,0.11360544217687076,0.8387755102040816,0.10136054421768707,0.8922155688622754,1.0637119920742457,0.006071081493822017,1.495804988662131
"Gender Female,Department Research & Development,Maritalstatus Married",Attrition No,0.11360544217687076,0.8387755102040816,0.10136054421768707,0.8922155688622754,1.0637119920742457,0.006071081493822017,1.495804988662131
"Joblevel 2,Gender Male",Attrition No,0.21360544217687075,0.8387755102040816,0.19047619047619047,0.8917197452229298,1.0631208641343932,0.011309176731917253,1.4889555822328924
"Businesstravel Travel Rarely,Jobsatisfaction 4",Attrition No,0.21904761904761905,0.8387755102040816,0.19523809523809524,0.8913043478260869,1.0626256214958214,0.011506316812439271,1.4832653061224488
"Gender Female,Hourlyrate Range <=48",Attrition No,0.11768707482993197,0.8387755102040816,0.10476190476190476,0.8901734104046243,1.0612773019422528,0.006048868527002649,1.4679914070891518
"Distancefromhome Range <=2,Gender Female",Attrition No,0.11768707482993197,0.8387755102040816,0.10476190476190476,0.8901734104046243,1.0612773019422528,0.006048868527002649,1.4679914070891518
"Distancefromhome Range <=2,Gender Female,Hourlyrate Range <=48",Attrition No,0.11768707482993197,0.8387755102040816,0.10476190476190476,0.8901734104046243,1.0612773019422528,0.006048868527002649,1.4679914070891518
"Maritalstatus Married,Educationfield Life Sciences",Attrition No,0.18435374149659864,0.8387755102040816,0.16394557823129252,0.88929889298893,1.0602346899381403,0.00931417464945164,1.4563945578231303
"Education 4,Joblevel 2",Attrition No,0.11632653061224489,0.8387755102040816,0.10340136054421768,0.888888888888889,1.0597458772641255,0.0058295154796612625,1.4510204081632665
"Department Research & Development,Environmentsatisfaction 4",Attrition No,0.20748299319727892,0.8387755102040816,0.18435374149659864,0.8885245901639344,1.0593115551832795,0.010322088018881015,1.4462785114045615
"Businesstravel Travel Rarely,Age Range >43",Attrition No,0.17687074829931973,0.8387755102040816,0.15714285714285714,0.8884615384615384,1.0592363840539023,0.008788004997917542,1.4454609429978886
"Department Research & Development,Maritalstatus Married",Attrition No,0.2945578231292517,0.8387755102040816,0.2612244897959184,0.8868360277136259,1.0572984272011599,0.014156601416076664,1.4246980424823
Jobsatisfaction 4,Attrition No,0.3122448979591837,0.8387755102040816,0.27687074829931974,0.886710239651416,1.057148460898282,0.014967374704984049,1.4231161695447403
"Gender Female,Department Research & Development",Attrition No,0.2578231292517007,0.8387755102040816,0.22857142857142856,0.8865435356200527,1.0569497139995763,0.012315701790920425,1.4210251542477454
