antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
"Joblevel 1,Department Research & Development,Environmentsatisfaction 1",Attrition Yes,0.06054421768707483,0.16122448979591836,0.02108843537414966,0.348314606741573,2.160432370928744,0.011327224767458002,1.2870865587614357
"Joblevel 1,Department Research & Development,Maritalstatus Single",Attrition Yes,0.10952380952380952,0.16122448979591836,0.0380952380952381,0.3478260869565218,2.157402311502477,0.020437317784256566,1.286122448979592
"Joblevel 1,Age Range <=30,Education 3",Attrition Yes,0.08231292517006802,0.16122448979591836,0.02857142857142857,0.34710743801652894,2.1529448687101165,0.015300569207274748,1.2847067941100492
"Department Sales,Maritalstatus Single",Attrition Yes,0.10408163265306122,0.16122448979591836,0.03605442176870748,0.3464052287581699,2.1485893935633325,0.01927391364709149,1.283326530612245
"Businesstravel Travel Rarely,Maritalstatus Single,Age Range <=30",Attrition Yes,0.0707482993197279,0.16122448979591836,0.024489795918367346,0.3461538461538461,2.1470301850048683,0.013083437456615298,1.2828331332533012
"Joblevel 1,Age Range <=30",Attrition Yes,0.17142857142857143,0.16122448979591836,0.058503401360544216,0.3412698412698413,2.116736990154712,0.03086491739552964,1.2733218588640276
"Age Range <=30,Jobinvolvement 2",Attrition Yes,0.0761904761904762,0.16122448979591836,0.02585034013605442,0.33928571428571425,2.104430379746835,0.01356656948493683,1.2694980694980693
"Joblevel 1,Maritalstatus Single,Jobinvolvement 3",Attrition Yes,0.07891156462585033,0.16122448979591836,0.026530612244897958,0.33620689655172414,2.085333915320821,0.0138081354990976,1.263609859528227
"Joblevel 1,Jobinvolvement 2",Attrition Yes,0.09319727891156462,0.16122448979591836,0.031292517006802724,0.33576642335766427,2.082601866395639,0.016266833263917816,1.2627719219555955
"Department Research & Development,Age Range <=30,Jobrole Laboratory Technician",Attrition Yes,0.06666666666666667,0.16122448979591836,0.021768707482993196,0.32653061224489793,2.0253164556962027,0.011020408163265305,1.2454545454545454
"Age Range <=30,Jobrole Laboratory Technician",Attrition Yes,0.06666666666666667,0.16122448979591836,0.021768707482993196,0.32653061224489793,2.0253164556962027,0.011020408163265305,1.2454545454545454
"Joblevel 1,Age Range <=30,Gender Male",Attrition Yes,0.1108843537414966,0.16122448979591836,0.03605442176870748,0.3251533742331288,2.016774093344723,0.01817714841038456,1.24291280148423
"Environmentsatisfaction 1,Education 3",Attrition Yes,0.07142857142857142,0.16122448979591836,0.02312925170068027,0.3238095238095238,2.008438818565401,0.011613216715257531,1.2404426559356136
"Businesstravel Travel Rarely,Maritalstatus Single,Department Sales",Attrition Yes,0.07006802721088436,0.16122448979591836,0.022448979591836733,0.3203883495145631,1.9872188767358976,0.011152297653755378,1.234198250728863
"Joblevel 1,Distancefromhome Range >14,Hourlyrate Range >83.75",Attrition Yes,0.08095238095238096,0.16122448979591836,0.02585034013605442,0.31932773109243695,1.9806403574087863,0.012798833819241982,1.2322751322751324
"Joblevel 1,Distancefromhome Range >14",Attrition Yes,0.08095238095238096,0.16122448979591836,0.02585034013605442,0.31932773109243695,1.9806403574087863,0.012798833819241982,1.2322751322751324
"Joblevel 1,Hourlyrate Range >83.75",Attrition Yes,0.08095238095238096,0.16122448979591836,0.02585034013605442,0.31932773109243695,1.9806403574087863,0.012798833819241982,1.2322751322751324
"Maritalstatus Single,Distancefromhome Range >14",Attrition Yes,0.07142857142857142,0.16122448979591836,0.022448979591836733,0.3142857142857143,1.949367088607595,0.010932944606413994,1.2232142857142858
"Maritalstatus Single,Hourlyrate Range >83.75",Attrition Yes,0.07142857142857142,0.16122448979591836,0.022448979591836733,0.3142857142857143,1.949367088607595,0.010932944606413994,1.2232142857142858
"Maritalstatus Single,Distancefromhome Range >14,Hourlyrate Range >83.75",Attrition Yes,0.07142857142857142,0.16122448979591836,0.022448979591836733,0.3142857142857143,1.949367088607595,0.010932944606413994,1.2232142857142858
"Businesstravel Travel Rarely,Joblevel 1,Age Range <=30",Attrition Yes,0.12448979591836734,0.16122448979591836,0.03877551020408163,0.3114754098360656,1.931936086324964,0.018704706372344858,1.2182215743440235
"Joblevel 1,Environmentsatisfaction 3,Gender Male",Attrition Yes,0.0727891156462585,0.16122448979591836,0.022448979591836733,0.308411214953271,1.912930320596238,0.010713591559072607,1.2128240485383341
"Maritalstatus Single,Jobinvolvement 2",Attrition Yes,0.08775510204081632,0.16122448979591836,0.026530612244897958,0.3023255813953488,1.875183985869885,0.012382340691378592,1.2022448979591838
"Joblevel 1,Jobrole Laboratory Technician,Gender Male",Attrition Yes,0.09047619047619047,0.16122448979591836,0.027210884353741496,0.3007518796992481,1.8654230512991339,0.012623906705539359,1.1995391705069125
"Department Research & Development,Education 3,Jobrole Laboratory Technician",Attrition Yes,0.0707482993197279,0.16122448979591836,0.02108843537414966,0.298076923076923,1.8488315481986366,0.00968207691239761,1.1949678501537602
"Education 3,Jobrole Laboratory Technician",Attrition Yes,0.0707482993197279,0.16122448979591836,0.02108843537414966,0.298076923076923,1.8488315481986366,0.00968207691239761,1.1949678501537602
"Joblevel 1,Jobinvolvement 3,Age Range <=30",Attrition Yes,0.09863945578231292,0.16122448979591836,0.029251700680272108,0.296551724137931,1.8393714535137495,0.013348604748021659,1.1923769507803121
"Department Sales,Age Range <=30",Attrition Yes,0.07891156462585033,0.16122448979591836,0.02312925170068027,0.2931034482758621,1.817983413356613,0.010406774954879912,1.1865604778496766
"Department Sales,Maritalstatus Single,Jobrole Sales Executive",Attrition Yes,0.07210884353741497,0.16122448979591836,0.02108843537414966,0.29245283018867924,1.8139479340816815,0.009462723865056226,1.1854693877551021
"Maritalstatus Single,Jobrole Sales Executive",Attrition Yes,0.07210884353741497,0.16122448979591836,0.02108843537414966,0.29245283018867924,1.8139479340816815,0.009462723865056226,1.1854693877551021
"Joblevel 1,Department Research & Development,Jobinvolvement 2",Attrition Yes,0.07551020408163266,0.16122448979591836,0.021768707482993196,0.28828828828828823,1.7881172311552056,0.009594613355546299,1.1785326788943424
